report,category,severity
"A ro-pax vessel parted a mooring line whilst alongside after a squall blew the vessel approximately 0.5m off the berth. As the crew responded and proceeded to mooring station to bring the vessel back alongside, the crew members on aft stations noted that one of the additional lines put out due to the weather had parted and damaged the paneling of a passenger car. There were no injuries or other damages or pollution. The vessel's crew inspected the other ropes for wear. ",Damage / Loss Of Equipment,Critical
"SAR vessel made contact with seabed resulting in damage to the port side prop. In the process of being launched at near low tide, was proceeding with the engines trimmed up when steered to deeper water the engines made contact with the seabed.",Grounding / Stranding,Low
A cruise ship crewmember was arranging upper bunkbed sheeting when they missed a step on the ladder and fell to the floor resulting in a overextension of the right ankle which kept the crewman off work for over 72 hours. ,Accident to person(s),Low
"While alongside, a trawler made contact with the fishing vessel moored next to it with the port derrick. When topping up the operator over topped the derrick applying too much force to the topping lift wire, which parted the top lug and the derrick fell onto the backstay of the other fishing vessel. The damage was superficial and there were no injuries. Referred to by the repartee as a 'near miss' due to the fact that people could have been injured by the falling derrick but were not present in the area at the time.",Collision,Low
"A service vessel was alongside for maintenance. The vessel's crane was being used to move two diesel generator cylinder heads ashore. A trained and experienced crane operator was driving the crane. The cylinder heads were secured to a wooden pallet using ratchet straps. The load was lifted using standard lifting techniques utilising 2 strops threaded through the underneath of the pallet. The pallet was lifted successfully, was observed to be well balanced and horizontal before being moved outboard and over the jetty. Before the load could be lowered one of the ratchet straps was seen to part. This caused one of the cylinders to roll off the pallet and drop to the jetty. The sudden imbalance on the pallet caused the pallet to upend causing the second cylinder to also fall to the jetty. No injuries to persons ashore.",Damage / Loss Of Equipment,Critical
"A lone skipper on a sailing yacht experienced propulsion failure whilst motor sailing.  A search and rescue (SAR) vessel was deployed, the SAR vessel assisted by towing the yacht into port.",Loss Of Control,Critical
"A sailing dinghy with two people and a dog on board capsized in a harbour area. The two people and the dog were rescued by a harbour patrol vessel then passed to a search and rescue vessel to be taken ashore. The harbour patrol vessel then towed the capsized dingy to a beach where a sailing club assisted in the recovery of the dinghy. There were no serious injuries, pollution or damage.",Capsizing / Listing,Critical
Cruise ship passenger fell over backwards resulting in a fractured wrist. The passenger walked backwards to take a photograph and fell over and tried to break their fall with their wrist. ,Accident to person(s),Low
Service ship under pilotage was towing the dumb barge upriver when they heard a low rumbling sound. The engine speed was reduced and then stopped. The vessel heeled slightly and it became apparent that the vessel had touched bottom. A tug vessel was informed and located nearby. Initial efforts to free  vessel  on board seemed unsuccessful.  The tug vessel was requested to provide assist pull power in addition to on board actions to free the service ship towards clearer water. This proved effective without damages. ,Grounding / Stranding,Low
"A ro-pax vessel crew member was struck by a vehicle on the vehicle deck during loading operations. A crew member instructed the vehicle driver to proceed to the outermost lane on the port side of the vessel. The driver initially complied and started moving to the port side, the crew member's attention then moved to the next vehicle being loaded.  Unbeknown to the crew member, the driver straitened the wheel and struck the crew member in the lower leg & ankle along with the hip & shoulder. The driver then corrected and proceeded towards the original space causing the crew member to make contact with wing mirror which then became partially detached from the vehicle. The crew member sustained minor injuries.",Accident to person(s),Critical
"A container ship's pilot ladder did not conform to SOLAS regulations. Ladder poor constructed , no manufacturers plate . Suspect ladder is fake. Winnets and steps dangerously loose . Steps rotating under foot.",Damage / Loss Of Equipment,Critical
"A fishing trawler fouled its propeller on a fishing net. A tug responded to the incident and set up a tow, but the towing line parted resulting in the two vessels colliding. The tug was undamaged and the bow of the fishing trawler sustained minor damage. The local lifeboat service attended and towed the trawler back to port. The tug left the scene under its own power. There were no injuries or pollution. ",Loss Of Control,Critical
"Ro-Ro cargo ship's pilot ladder did not conform to SOLAS regulations. Weight of ladder held on cargo securing strops, not securing ropes. Securing ropes were slack.",Damage / Loss Of Equipment,Critical
Small high speed cruise vessel was hit by a large wave which caused the vessel to land heavily behind the wave. This resulted in 2 passenger injuries whilst they were seated in the cabin. One passenger sustained a back injury and the other suffered with a bruised ribs after impacting the table. The vessel owners are looking at installing suspension seats to mitigate this kind of incident. ,Accident to person(s),Low
A sailing yacht capsized with the one person onboard falling into the water. They were unable to self-recover. A lifeboat was tasked and rescued the casualty and returned them to shore. The lifeboat returned to the vessel which had taken on a lot of water but was taken under tow and returned to shore. The casualty did not need any medical treatment. ,Capsizing / Listing,Critical
"A fishing vessel experienced propulsion failure during strong gale conditions. The crew attempted to regain propulsion and were successful for a short period of time however once the propulsion failed a second time, the crew could not re-establish it. The fishing vessel was towed to sheltered waters by another fishing vessel. There were no injuries, pollution or damage.",Loss Of Control,Low
"A pilot vessel had picked up a passenger (dock worker) and was taking them to another location inside the harbour. When disembarking, the passenger attempted to step across onto the steps of the pontoon, but slipped in the process falling onto their chest. This resulted in a cracked rib. The passenger went to hospital ashore. ",Accident to person(s),Low
Off-shore supply ship was alongside in the harbour when a crew member went on deck to investigate a noise. The crew member bent over a slack line to adjust the fenders due to vessel movement. The mooring line moved up from the deck and 'jumped' striking the crew member in the face. The crew member sustained eye and nose injuries as well as a concussion. ,Accident to person(s),Low
A cruise ship passenger was descending a staircase in an indoor passenger area when they slipped and sustained a fractured patella on their left leg. They sought immediate medical assistance on board the vessel and reported to the medical center. They medically disembarked the vessel. All the steps on the stair case were inspected and were found to be in good condition. ,Accident to person(s),Low
A sail training vessel on a mooring buoy but were asked to move due to another vessel booking. The skipper decided to move anchor in a bay. The vessel was heading to the anchoring area at 2.5 knots when the depth went from 7 to 2 metres on the sounder and the vessel touched an object. The skipper engaged astern and the vessel quickly went back into 7.0 metres of water.  They then anchored in 9.5 metres of water further out.  The vessel was checked for water ingress (as a precaution) and all was fine.,Grounding / Stranding,Low
General cargo vessel pilot ladder rigging didn't conform to SOLAS,Damage / Loss Of Equipment,Critical
"A cruise ship crewmember was resting in their cabin when they sustained a dislocated shoulder. Reportedly, the crew member was on the upper bunk of a bunk bed and twisted their shoulder when they woke up. There were no defects in the cabin and no damages. ",Accident to person(s),Low
"Container ship's ladder was not rigged per current SOLAS regulations. Choke shackles used, vessel in poor condition.",Damage / Loss Of Equipment,Critical
"A bulk carrier crewmember sustained a hand injury requiring hospital treatment. The vessel was alongside in port and two crew had gone foreward and aft to check and adjust the mooring lines whilst another crew member remained on the gangway. Whilst they were there, they attempted to adjust the wire for the gangway as it was not going onto the sheave straight. However, the gangway was being hung off at the time, due to crane movements on the jetty, and the wire was under tension. When the crew member attempted to adjust the wire, their finger was caught under it and part of the end of their finger was amputated. They went ashore to hospital and received treatment but did not require surgery. The reason for the accident was reported to be carelessness on the part of the injured crewmember and not resailing the risk of touching the wire whilst it was under tension. ",Accident to person(s),Low
"A sailing yacht started to take on water from a propeller shaft seal that had slipped. The crew radioed for assistance, a search and rescue craft attended and assisted by pumping out the water. The sailing yacht was able to make its way to a pontoon escorted by the search and rescue vessel. There were no injuries or pollution.",Flooding / Foundering,Critical
A search and rescue (SAR) vessel was carrying out a training exercise for local knowledge familiarisation for the crew.  Whilst running the SAR vessel in through the surfline a crew member lost their balance and fell into the vessel with their arm trapped under a handle on the sponson. This entrapment and their body weight caused a fracture to the radial and ulna in the right arm.,Accident to person(s),Low
"A sailing yacht experienced engine failure, the crew were unable to pick up a mooring buoy and the anchor failed to hold. Due to the proximity of the lee shore, and the risk of grounding, a search and rescue (SAR) vessel was tasked to assist and tow the vessel a safety.",Loss Of Control,Critical
"Cruise ship's pilot ladder not rigged per SOLAS regulations. The rigging of the pilot ladder was not checked, or the embarkation and/or disembarkation of the pilot was not supervised by a watch keeping deck officer. Incorrect knot arrangement for securing the side ropes.",Damage / Loss Of Equipment,Critical
Passenger vessel suffered machinery failure and was towed back to its berth with 56 people on board.,Loss Of Control,Critical
"Two sailing vessels collided resulting in minor damages to both. Both sailing vessels were running ahead of the wind, one overtaking the other. The vessel being overtaken maintained its course and speed but the overtaking vessel did not alter to avoid it and collided with the stern. This resulted in damage to the railings, solar panels and outboard motor for the tender on the vessel being overtaken and damage to the rigging of the overtaking vessel. The outboard motor went overboard. Reportedly, the crew of the overtaking vessel shouted at the vessel being overtaken that they were racing and said that the vessel being over taken should get out of the way. There were no injures and both of the vessels were still able to sail. ",Collision,Low
Cargo vessel shifting berth when its starboard quarter went over the quay edge and hit the bollard. The bollard was sheared but no damage to the vessel was reported. ,Contact,Critical
"A fishing vessel suffered engine failure, the vessel and seven crew onboard were in no immediate danger. A search and rescue (SAR) vessel was tasked and towed the vessel back to harbour. No injuries to crew.",Loss Of Control,Critical
"The lifeboat was on route to return to the port when it made contact with an unidentified submerged object. This resulted in light damage to boat engine skeg however, the boat remains in full service. No further damages reported. ",Contact,Critical
A ro-pax vessel made contact with the linkspan during arrival after moving astern at too high a speed and failing to take timely action to stop the astern movement. The ship's transom came into contact with the linkspan at an estimated speed of 0.5 to 1.0 knots. The link span sustained damage so that it was only fit for restricted use. The vessel was undamaged and there were no injuries or pollution. ,Contact,Critical
Not available Under Permanent Cooperation Framework (PCF),Accident to person(s),High
Oil tanker collided with bulk carrier while at anchor resulting in damage to the bow. ,Collision,Low
The skipper of a yacht suffered a minor head injury when the boom swung into his forehead. He was checked by the paramedic from the local lifeboat service and instructed to attend a minor injuries clinic. ,Accident to person(s),Critical
The vessel crew member was using mooring lines when they placed their fingers within moving parts of the rope clamp. This resulted in a wound on their left hand fingers,Accident to person(s),Low
Ro-Ro cargo vessels pilot ladder did not conform to SOLAS regulations. Ladder securing lines rigged but not tight. Weight being taken by shackles around side ropes ,Damage / Loss Of Equipment,Critical
"A crew member was washing the hold when they stepped on the hose, stumbled and fell.  The left arm was bruised and later became swollen. The injury was later confirmed to be a fracture.",Accident to person(s),Low
Container ship's pilot ladder not rigged per SOLAS regulations. The pilot ladder was secured with deck tongue and steel bar only. ,Damage / Loss Of Equipment,Critical
"A cruise ship passenger fractured their ankle by climbing down onto a table and losing their balance, resulting in a fracture. The guest was wearing flip-flops at the time. The reason given for climbing on the table was that a football became lodged in a net that surrounded the area where the passenger was, and they climbed up to retrieve it. ",Accident to person(s),Low
"A cruise ship crewmember was working in the laundry when they suffered a traumatic amputation of their toe. A towel had gotten stuck in a dryer machine and the crewmember entered the track area where the “robot” delivers the washed laundry to the various dryers. They entered the area without putting the machine in “manual” mode, therefore the moment the crewmember opened the back hatch of the dryer machine, the “robot” assumed that the dryer was ready for more washed towels to be loaded and started operating. The crewmember's toe was caught by the machinery and was severed. The crewmember reported the incident to their supervisor and sought medical attention at the ship’s medical centre. The crewmember was subsequently disembarked due to the extent of their injuries and sent to a local hospital. Once fit to fly they were repatriated.",Accident to person(s),Low
"A heavy load carrier was moored to a buoy in a port awaiting the weather window to proceed on passage when the wind increased with gusts in excess of 40 knots. This caused some of the mooring lines to part or partially part. The Master had been offered a chain to moor to but had initially refused. After getting the vessel under control with the help of a tug and a pilot the vessel re-moored, this time using a chain.",Loss Of Control,Critical
"A bare boat charter vessel collided with a kayak on a commercial kayak tour, resulting in a serious injury. The kayak was proceeding along a canal when the bare boat charter vessel started to go astern from the side of the canal. The stern of the bare boat charter vessel struck the kayak and its single occupant, resulting in a serious knee injury. ",Collision,Low
Cargo vessel's pilot ladder did not conform to SOLAS regulations. Initial boarding attempt aborted due to poor condition of ladder. Ladder changed to a slightly better one but still loose steps. Passage aborted due to other issues and vessel returned to the Bar.,Damage / Loss Of Equipment,Critical
"A pilot was unable to board because the pilot ladder was rigged incorrectly  The ropes were rigged to a piece of pipe which was then shackled to the pilot ladder, berthing was canceled as a second attempt to board the vessel the pilot ladder still failed because it was still rigged incorrectly. The ladder was shackled directly to the pipe on the second attempt and the vessel was told to return. The Master on VHF confirmed that he didn't have any shackle points on the deck so the pilot ladder could never have been rigged in accordance with IMO requirements.",Damage / Loss Of Equipment,Critical
"A tanker's pilot ladder did not conform to SOLAS regulations. Chocks missing and loose, spreader badly twisted and side rope stretched on one side.",Damage / Loss Of Equipment,Critical
"An inland waterways workboat crew member was descending a vessel ladder onto the pier when they missed on of the steps and slipped. When they landed, they continued to slip, twisting their ankle resulting in a fracture. The cause of the injury was reportedly due to lack of care when using the ladder. The crew member was off work for 15 to 30 days. ",Accident to person(s),Low
"Recreational motor-cruiser experienced engine failure and was drifting in a shipping lane. The vessel crew issued a distress signal. Once assistance arrived they realised one of the crewmembers was in need of medical attention as they had cold hands, warm face and were feeling seasick. The crewmember was fully alert the entire time and shivering. They brought the crewmember ashore for further treatment. The other crew members remained on board whilst their vessel and brought ashore. The unwell crewmember was treated for mild hypothermia and allowed to leave shortly after. No further damages or injuries reported.",Loss Of Control,Critical
"A pleasure motor vessel with 6 people on board was at anchor without power and was taking on water. They were not able to pump out the ingress of water and the local lifeboat service attended, providing an emergency pump. The crew on board the flooding vessel disembarked and the local lifeboat service set up a tow, to bring the vessel back to port. There were no injuries or pollution and the source of the flooding was not identified at the time. The tow was deemed necessary as the vessel was in danger from the rate of water ingress. ",Flooding / Foundering,Critical
General cargo vessel lost 80 tonnes of timber over the side after the vessel was hit by a large wave which caused the cargo to shift and when a second large wave hit causing the cargo fell overboard. ,Loss Of Control,Critical
"A rib was seen going round in circles with no one on board. A passing vessel found the crew member in the water and recovered them, a search and rescue vessel was tasked, assessed the crew member and confirmed no injuries and no further medical assistance required.",Capsizing / Listing,Critical
"A tug crew member was working using a pillar drill in the vessel's workshop when they experienced a severe electric shock that immobilized them and caused them to collapse, breaking the connection to the current. The pillar drill casting was live with the presence of 415V running between the drill and the workbench. There was a major earth fault because some of the pressure switches in the domestic fresh water system had been incorrectly wired, which then affected the 3-phase socket powering the pillar drill. The neutral/earth link had been removed from the water system pressure switches which meant the system was not properly earthed to the vessel's frame. The crew member did not go to hospital right away however they continued to experience pins and needles after the incident and subsequently attended hospital.",Accident to person(s),Critical
"A general cargo vessel crew were letting go a tug on the forecastle when one of the crew members caught their foot in the bight of the messenger line and suffered a crush injury. The other crew member attempted to stop the tug crew from winching and alerted the bridge, however the injured crew member was dragged towards the fairlead, where they became stuck. The force of the line being heaved pulled off the crew member's boot and part of their foot. Due to the severity of the injury, first aid was given on board in the form of a tourniquet to control the bleeding and then the crewmember was evacuated by helicopter. ",Accident to person(s),Low
A general cargo vessel a was manoeuvring close to the quay as part of berthing with the pilot on board when the vessel's hull struck one of the metal ladders on the quay. This resulted in the ladder being bent and the starboard side of the vessel's hull being damaged. The vessel sustained a puncture above the water line about 10cm in size and a damaged frame. There were no injuries or pollution. ,Contact,Critical
Offshore supply vessel pilot ladder rigging didn't conform to SOLAS,Damage / Loss Of Equipment,Critical
A cargo ship's pilot ladder did not conform to SOLAS regulations. Step rigged over pilot ladder and was an obstruction to safe access.,Damage / Loss Of Equipment,Critical
Close quarters situation between a high-speed passenger vessel and a pilot boat. The pilot vessel altered course to starboard towards the passenger vessel. At this point the passenger vessel was passing abeam of another inbound vessel and on the edge of the channel. The passenger vessel reduced speed by 10 knots and sound 5 short and rapid blast on the ship's whistle. The pilot vessel took no action and maintained course and speed passing ahead of the passenger vessel and astern of the other vessel. VTS estimated a passing distance of 35m from the passenger vessel.,Collision,Low
"A search and rescue (SAR) vessel was tasked to carry out a search on a river. Whilst searching, the vessel made contact with an uncharted object in 6m of water. The vessel was able to return to shore using both engines without any problem.  A crack on one propeller was identified and the propeller replaced, the engine checked and the vessel put back on service.",Damage / Loss Of Equipment,Critical
An inland water way passenger vessel and a self-hire recreational craft collided. The self-hire craft capsized and the 6 occupants entered the water. 3 swam to the river bank and exited the water whilst 3 were recovered by the inland water way passenger vessel.  None of the 6 people that entered the water sustained injuries.,Collision,High
Cruise ship's pilot ladder did not conform to SOLAS regulations. ,Damage / Loss Of Equipment,Critical
Bulk carrier used non-conforming heaving line,Damage / Loss Of Equipment,Critical
"A search and rescue (SAR) vessel was tasked to assist a vessel that had drifted ashore, the Y boat was launched to recover the casualties. Once this was completed, the Y boat went to the stern of the SAR vessel to be recovered, a wave passed along the hull of the SAR vessel which caused the 2 crew members to fall overboard. Both were wearing lifejackets and drysuits. No damages/injuries reported.",Loss Of Control,Critical
A motor cruiser suffered a suspected engine fire and issued a Mayday. Two search and rescue (SAR) vessel and another vessel were tasked to assist. Once on scene a crew member from one of the SAR vessels transferred to the motor cruiser to assess the situation but the fire had been extinguished and the smoke had cleared. The vessel was able to make its own way to port using one engine and escorted by one of the SAR vessels. Once in port it was met by the fire service as a precaution.,Fire / Explosion,Critical
Offshore supply ship's fire alarm sounded and it was reported that an air compressor was on fire. The crew swiftly responded to the emergency and extinguished the fire. No damages reported other than heat damage to the air compressor. No injuries. ,Fire / Explosion,Critical
"A sight seeing vessel with two crew and 12 passengers on board fouled its propeller and required assistance. The vessel had anchored close to the shore for sight seeing when it dragged anchor and fouled the port side propeller on an old mooring in the area. The vessel crew used the starboard engine to manoeuvre out of the area and recover the anchor, before calling for help. Another vessel responded and set up a tow but the casualty vessel was able to make way on their own after a while, and safely returned to port. There were no injuries, damage or pollution reported. ",Loss Of Control,Critical
SAR ILB grounded on a rescue operation resulting in propeller damage restricting the manoeuvrability of the vessel. The lifeboat returned to to station under its own power and both p[propellers were changed and relaunched on sea trials and declared ready for service. ,Grounding / Stranding,Low
"Small passenger vessel's prop fell off while coming alongside and made light contact with the pier resulting in minor paint damage. Vessel had been in for out of water inspection/maintenance under shipyard care. Vessel was moved on request by shipyard to harbour, when propeller came off. ",Loss Of Control,Critical
"A search and rescue vessel sustained damage after grounding when returning from a tasking. The vessel was proceeding down a channel when it grounded on the channel edge, resulting in gearbox issues on the outboard engine, with limited engine performance. The search and rescue vessel was able to return to the launching tractor on the beach under its own power and returned to the station for necessary repairs. There were no injuries or pollution or other damages, The incident occurred at night in an area of shoals. ",Grounding / Stranding,Medium
"The vessel was on passage at the time when it had a main engine cooling fault, tug assistance was requested and was towed to safety into a nearby port where the vessel would also have the issues repaired",Loss Of Control,Critical
"A yacht experienced a small engine room fire that produced smoke before it was extinguished. The engine was reportedly smoking. Once the fire was extinguished, nearby yachts elected to assist the stricken yacht back to port. There were no injuries or pollution reported and limited damage reported. ",Fire / Explosion,Critical
"A sail training vessel was anchored close to the coast when it began to drag anchor until it entered an area of shallower water and grounded. The vessel's crew recovered the anchor and were able to manoeuvre the vessel off the area where it had grounded. There were no injuries, pollution or damages. The crew reported that the incident occurred due to a shift in the direction and strength of the wind and not having sufficient chain out. ",Grounding / Stranding,Low
"The vessel suffered a grounding and was found to be listing. A different vessel managed to tow the vessel off, after checking the conditions onboard no water ingress was located and no damage was confirmed. The vessel managed to make its own way into port under its own steam because it has propulsion and steering. No injuries were confirmed to any crew members.",Grounding / Stranding,Medium
Offshore supply vessel had a fire in the starboard engine which was extinguished. This was followed by a port engine failure. An RNLI ALB assisted the casualty to a position outside the windfarm where another vessel took them under tow (in accordance with company policy) back to harbour. There were no injuries reported. ,Fire / Explosion,Critical
"A bulk carrier was inbound towards a port under pilotage when the crew on the bridge noticed that the echo sounder was showing zero depth available, after an alarm sounded to alert them. The master alerted the pilot as soon as there was an alarm. The vessel was reportedly navigating towards the edge of the channel and had slowed down to allow another vessel ahead of them time to berth. The casualty vessel later left the channel, reportedly drifting faster than the pilot had anticipated it would. The tugs that were already made fast assisted to move the vessel back towards the middle of the channel. However the vessel was able to berth and after sounding tanks whilst alongside, no water ingress or damage was discovered. ",Grounding / Stranding,Low
"A bulk carrier had a non-SOLAS compliant pilot ladder arrangement due to the fact that there was no lifebuoy with a self-igniting light available at the embarkation point, that the ladder was secured with the incorrect type of rope and that the ladder was in poor condition. ",Damage / Loss Of Equipment,Critical
A yacht was taking part in a race when it began to take on water. Both persons onboard issued a mayday and abandoned to a liferaft and were successfully rescued by lifeboat. The casualty vessel sank.,Flooding / Foundering,High
Small passenger vessel had fire onboard resulting in total loss. VESSEL FIRE FIRST REPORTED AT 12:46 UTC. SUPERSTRUCTURE COMPLETELY BURNED OUT. VESSEL TOWED TO ITS CURRENT LOCATION AND INTENTIONALLY BEACHED BY HM.,Fire / Explosion,High
Offshore supply vessel sustained a port side main engine failure after a loud shuddering noise. The vessel had had a main engine major overhaul and was on route to port at the time of the incident. The vessel turned around and headed back to port. There were no injuries.,Fire / Explosion,Critical
"A ro-pax vessel was on passage and had come out of a period of reduced visibility and was using two generators to provide power. The operation to use one generator only, started taking place. The forward generator was stopped as it was going through its normal shut down cycle. This is when the remaining aft generator on load suffered a high temperature alarm and shut down. This led to a shut down of fuel pumps and main engines. As soon as the forward generator completed its shutdown cycle it was restarted as well as the main engines. The vessel proceeded on passage.",Loss Of Control,Critical
A container vessel had an inadequate pilot ladder arrangement due to the fact that it was in poor condition and did not appear to be SOLAS certified. ,Damage / Loss Of Equipment,Critical
A cruise ship passenger was descending a staircase and fell after 3 steps resulting in a fractured hip and wrist. The casualty was transferred to the medical centre and was disembarked the following day.  ,Accident to person(s),Low
"A cruise ship passenger was walking towards the open deck, as they exited the door on to the open deck the passenger slipped on the ramp falling to the deck. The passenger was treated for a fracture to the right wrist. The passenger was not medically disembarked. No defects were found at the scene.",Accident to person(s),Low
A small motorboat with 5 persons onboard ran aground on a sandbank at the mouth of a river. The small vessel also experienced engine failure and a list. Local lifeboat brought all persons ashore and anchored the stricken vessel nearby. No damages or pollution reported. No injuries reported. ,Grounding / Stranding,Low
"A fishing vessel crew member sustained soft tissue damage to their leg and were advised by hospital staff to rest for a number of weeks.  The vessel was hauling its net at the time of the incident and the injured party was stood, observing that the net was going onto the net drum correctly. Whilst doing so, the vessel took a heavy roll to starboard and the crew member lost their balance. This resulted in their leg becoming jammed between the net and the net guide rail and causing the injury.",Accident to person(s),Low
"A fishing potter started to take on water. The on board pumps were able to keep up with the ingress so that the vessel could make its own way back to a safe port. Another fishing vessel stood by, accompanying it back to port should the situation escalate. No life boat service/SAR services were deployed. ",Flooding / Foundering,Critical
"A search and rescue (SAR) vessel was returning from a tasking, whilst the vessel the propeller made contact with the recovery trolley causing minor damage to the propeller which was subsequently replaced. No injuries to crew.",Contact,Critical
"Sailing club open motor launch vessel crewmember suffered a shoulder injury whilst securing it to a mooring. On reaching the mooring, the casualty gathered up the mooring buoy and line and holding them in one hand, he undid the line securing launch B to his own vessel and attempted to pull it forward to secure it to the mooring. At this point the wind caused the second launch to drift away. When the line became taught, the casualty sustained a shoulder injury resulting in time being taken off work. ",Accident to person(s),Low
"Fishing vessel crew member was crushed between the net and the starboard shell plating after removing a guide pole. He suffered significant crush injuries and was taken outboard by the force of the net, but his feet caught in the net. As the vessel rolled the skipper and another crew member managed to get him back on board. He was in an out of consciousness and a mayday was called. He was evacuated by helicopter to Lerwick hospital where he regained consciousness.",Accident to person(s),Low
"A service vessel was moving berths. While manoeuvring away from the pontoon, the vessel was travelling astern when the portside bow made contact with one of the protruding mooring bollards and bits on the pontoon which resulted in a small hole on the bow flare of the hull above water line. ",Contact,Critical
"Bulk carriers pilot ladder construction did not meet current SOLAS standards. Ropes stretched on one side. Chocks out of position, rubber step and spreader free to move up and down. Damage also noted on rubber step. Pilot refused boarding until new ladder rigged. ",Damage / Loss Of Equipment,Critical
"A search and rescue vessel crewmember sustained fractured vertebrae. Whilst the vessel was going over a wave and as it dipped down into the following trough, the crewmember crashed against the seat with force, resulting in the injury. This was reported to be due to the fact that the crewmember could not see the larger than usual wave that the vessel encountered due to it being night time, and therefore could not prepare themselves for it. ",Accident to person(s),Low
"A tug was coming alongside in a port, a crew member was acting upon instruction to ready the vessel's ropes to tie up alongside the pier.  They had retrieved a rope from the starboard side and was moving the end of it to the port side to pass it up the pier and make the boat fast. There was no other equipment involved other than a spliced loop of rope. The deck was wet from the journey just undertaken. There was no ice or snow or any other contributing factors. The slip happened while the boat was coming alongside, the crew member slipped on the deck and injured their ankle, first aid was given onboard.",Accident to person(s),Low
A single handed trawler was recovering the gear and made an error which resulted in damage to the trawl doors. This damage caused the hull to be breached and water ingress. The crewmember broadcast a mayday and the local lifeboat service attended and assisted by pumping out water and setting up a tow. They towed the vessel back to its home port. The damage was significant. ,Flooding / Foundering,Critical
A Ro/Pax vessel passenger tripped on the vehicle deck whilst exiting their truck and sustained a suspected fractured leg. The casualty was removed from the vessel and taken to hospital by the ambulance service. ,Accident to person(s),Low
A general cargo vessel had an inadequate pilot ladder arrangement due to the fact that there were no stanchions fitted and there were unsuitable arrangements with handholds too large to grip. The ladder was also in poor condition due to the fact that it was stored on deck open to the elements. ,Damage / Loss Of Equipment,Critical
"Container ship's pilot ladder did not conform to SOLAS regulations. Ladder side ropes appeared to be in very poor condition. Frayed, dirty and generally old. ",Damage / Loss Of Equipment,Critical
A bulk carrier had an inadequate pilot ladder arrangement due to the fact that it was secured using shackles over the side ropes. ,Damage / Loss Of Equipment,Critical
"The vessel had not long departed a port when a crew member closed their finger in a hatch, the vessel turned around and returned back to port to get the crew member checked by medical staff. They didn't require any further medical treatment and were given the all-clear for the vessel to depart the port again and then continue its passage. The crew member had a minor finger injury.",Accident to person(s),Critical
"Passenger ship's alarms went off in the bow thruster room. Initial entry by the fire team reported smoke in there however, no fire was reported. On further inspections, it was observed that oil got heater and was emitting smoke from a hot shaft due to a possible bearing failure. No injuries/damage was reported. ",Fire / Explosion,Critical
"A cruise ship passenger was exiting the bathroom in their cabin when they tripped on the threshold of the door and lost their balance, falling to the floor outside the bathroom. They sustained a fracture to their ankle. They reported that the fall occurred because they did not lift their leg high enough to clear the threshold. The passenger was examined by the ship's doctor. There were no defects found at the scene. The passenger was not medically discharged from the vessel and continued with their cruise despite the fracture. ",Accident to person(s),Low
Sailing vessel suffered damage to the main sail in rough weather conditions resulting in being towed to safety by SAR.,Damage / Loss Of Equipment,Low
A cruise ship passenger fell and fracture their pelvis/hip (left inferior ramus fracture) whilst using the passenger sports area. They were treated on board and disembarked at the next port for orthopedic referral. There were no defects with the deck area of the incident and the passenger was wearing casual sneakers at the time. ,Accident to person(s),Low
"A sailing yacht and a ro-pax coastal ferry had a near-miss collision in a narrow channel, when the ro-pax vessel altered in front of the sailing yacht. The yacht was forced to take up it's sails and alter to starboard to avoid collision, the closest point of approach reportedly being 10m. ",Collision,Critical
Container ship's pilot ladder did not conform to SOLAS regulations. Pilot ladder over 30 months old with no strength test. Chief Officer will use newer ladder for departure (available on board). Ships SMS requirement is to change the ladder after 36 months.,Damage / Loss Of Equipment,Critical
A commercial dive vessel's engine failed with 9 pob. An ILB was tasked to assist and provided a tow back to the marina. No persons were injured and no damage reported. ,Loss Of Control,Critical
A search and rescue vessel was practicing casualty pick ups when the crew fell overboard. No injuries/damages reported.,Accident to person(s),Critical
An offshore supply vessel had a collision with another offshore supply vessel resulting in damage and pollution.  The vessel was unable to manoeuvre safe and clear of the other off shore supply vessel resulting in an collision involving the stern and one of the legs of the other vessel.,Collision,Medium
A workboat was entering a dock when one of the vessel's rubber fenders caught fire. It had shifted and covered the exhaust and caught fire because of the heat. The crew stopped the vessel and extinguished the fire before proceeding on their way without further issues.,Fire / Explosion,Critical
"A search and rescue vessel was launching at the designated launching ramp when shortly after it was clear from the carriage (trailer) the vessel's propellers grounded, sustaining minor damage. The crew reported that a number of days of sustained easterly wind had changed the beach condition, causing sediment buildup. ",Grounding / Stranding,Low
Container ship's crew threw down a monkey's fist with protruding metal during sailing from dock. ,Damage / Loss Of Equipment,Critical
Fishing vessel lost propeller resulting in being towed back to safety.,Damage / Loss Of Equipment,Low
"Sailing vessel's passenger sustained a foot injury whilst the vessel was rolling. The vessel anchored and a lifeboat transferred the injured individual to the nearest port for further medical assistance. There were two passengers sitting on the bottom step of the companion way inside the boat, eating lunch, when the boat lurched slightly causing one of the passengers to slide across the step and land on the foot of the injured passenger. The passenger's foot was swollen and x-rays showed a fracture on the top of their foot. ",Accident to person(s),Low
"The vessel went hard aground on the sand on the coast of an island,  A few hours later, it was refloated and proceeded to a different port to check for damage. No damage, water ingress, or defects were confirmed. The charterer confirmed that the chief officer was the officer of the watch, he had fallen asleep, there was no additional lookout, and the BNWAS was not switched on. ",Grounding / Stranding,Low
